Id,Fecha,Aaa,Mes_x,Día_x,Día semana,Hora,Num víctimas,Participantes,Acusado,Victima,Sexo,Edad victima,Rango etario,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Xy (caba),Coordenada x,Coordenada y,Pos x,Pos y
LC-2019-0004229,1900-01-01,2019,1,3,,,,,,,Mujer,43,Entre 41-60,,,,,,,,,,,,
LC-2019-0004442,1900-01-01,2019,1,3,,,,,,,Mujer,38, Entre 21- 40,,,,,,,,,,,,
LC-2019-0004442,1900-01-01,2019,1,3,,,,,,,Varon,38, Entre 21- 40,,,,,,,,,,,,
LC-2019-0004565,1900-01-01,2019,1,3,,,,,,,Mujer,0,Menos de 20,,,,,,,,,,,,
LC-2019-0004621,1900-01-01,2019,1,3,,,,,,,Varon,0,Menos de 20,,,,,,,,,,,,
LC-2019-0004622,1900-01-01,2019,1,3,,,,,,,Mujer,0,Menos de 20,,,,,,,,,,,,
LC-2019-0004652,1900-01-01,2019,1,3,,,,,,,Varon,28, Entre 21- 40,,,,,,,,,,,,
LC-2019-0004717,1900-01-01,2019,1,3,,,,,,,Varon,45,Entre 41-60,,,,,,,,,,,,
LC-2019-0004718,1900-01-01,2019,1,3,,,,,,,Varon,51,Entre 41-60,,,,,,,,,,,,
LC-2019-0005334,1900-01-01,2019,1,3,,,,,,,Varon,33, Entre 21- 40,,,,,,,,,,,,
LC-2019-0005614,1900-01-01,2019,1,3,,,,,,,Varon,43,Entre 41-60,,,,,,,,,,,,
LC-2019-0005622,1900-01-01,2019,1,3,,,,,,,Mujer,64,Entre 61-80,,,,,,,,,,,,
LC-2019-0005638,1900-01-01,2019,1,3,,,,,,,Varon,36, Entre 21- 40,,,,,,,,,,,,
LC-2019-0005638,1900-01-01,2019,1,3,,,,,,,Mujer,36, Entre 21- 40,,,,,,,,,,,,
LC-2019-0005647,1900-01-01,2019,1,3,,,,,,,Varon,45,Entre 41-60,,,,,,,,,,,,
LC-2019-0005681,1900-01-01,2019,1,3,,,,,,,Mujer,0,Menos de 20,,,,,,,,,,,,
LC-2019-0005764,1900-01-01,2019,1,3,,,,,,,Varon,84,Más de 80,,,,,,,,,,,,
LC-2019-0005815,1900-01-01,2019,1,3,,,,,,,Varon,22, Entre 21- 40,,,,,,,,,,,,
LC-2019-0005979,1900-01-01,2019,1,3,,,,,,,Varon,26, Entre 21- 40,,,,,,,,,,,,
LC-2019-0654194,1900-01-01,2019,10,19,,,,,,,Varon,32, Entre 21- 40,,,,,,,,,,,,
LC-2019-0006068,1900-01-01,2019,1,4,,,,,,,Mujer,20, Entre 21- 40,,,,,,,,,,,,
